galaxy,Vk_Vb,regime,pearson_r,delta_sigma_kms,mean_L_eff_kpc,min_L_eff_kpc,source,flag
UGC11557,0.0544,baryon-dom,0.7887,0.0,139.3351,66.6667,phase2a,
F567-2,0.0581,baryon-dom,0.9674,,165.6461,66.6667,phase2a,inner_coverage
UGC09037,0.0794,baryon-dom,0.7555,0.0,159.178,66.6667,phase2a,
UGC09992,0.1169,baryon-dom,0.8917,,160.7567,71.4299,phase2a,inner_coverage
NGC4085,0.1365,baryon-dom,0.4602,0.0,148.472,80.017,phase2a,
UGC06628,0.1499,baryon-dom,0.9634,0.0,158.6972,66.6667,phase2a,
NGC2976,0.1574,baryon-dom,0.8572,0.0,169.5716,85.506,phase2a,
UGC00731,0.8021,balanced,0.8824,0.0,153.8558,66.6667,phase2a,
NGC4559,0.9261,balanced,-0.1685,0.0,118.2701,66.6667,phase2a,negative_r
D564-8,0.9282,balanced,0.7602,0.0,158.4722,66.6927,phase2a,
UGC07323,0.9551,balanced,0.9365,0.0,153.0574,71.6281,phase2a,
UGC00191,1.0305,balanced,0.2792,0.0,132.0372,66.6668,phase2a,
UGC04278,1.0379,balanced,0.9102,0.0,150.5267,66.6667,phase2a,
UGC05918,1.0607,balanced,0.9523,0.0,154.7916,66.6667,phase2a,
UGC11820,1.0942,balanced,0.6628,0.0,136.3717,66.6667,phase2a,
NGC0247,1.507,DM-dom,0.8834,0.0,159.8976,66.6667,phase2a,
UGC06399,1.5141,DM-dom,0.8301,0.0,139.9084,68.7143,phase2a,
UGC05999,1.5184,DM-dom,0.8779,,153.9134,66.6667,phase2a,inner_coverage
F563-1,1.5883,DM-dom,0.7103,0.0,155.635,66.6667,phase2a,
UGC07577,0.197921,baryon-dom,0.9808,0.0,158.9638,68.5748,phase2b,
NGC6789,0.252457,baryon-dom,0.6214,,135.1577,81.2885,phase2b,inner_coverage
UGC06818,0.393102,baryon-dom,0.4737,0.0,143.6026,80.9722,phase2b,
NGC0100,0.459167,baryon-dom,0.4499,0.0,137.2123,67.0571,phase2b,
DDO064,0.467341,baryon-dom,0.7595,0.0,157.1547,69.6481,phase2b,
NGC4389,0.468908,baryon-dom,0.9636,,153.7611,66.6667,phase2b,inner_coverage
UGC07603,0.514494,baryon-dom,0.6836,0.0,155.2071,66.6668,phase2b,
UGC07151,0.514582,baryon-dom,0.7742,0.0,155.9635,83.6141,phase2b,
NGC4088,0.564033,baryon-dom,-0.157,0.0,118.3734,66.6667,phase2b,negative_r
UGC12732,0.582972,baryon-dom,0.6148,0.0,134.8003,66.6667,phase2b,
UGC07089,0.70635,baryon-dom,0.8606,0.0,149.3018,66.6667,phase2b,
UGC12632,0.771087,baryon-dom,0.9137,0.0,144.1589,66.6667,phase2b,
NGC4214,0.794599,baryon-dom,0.4773,0.0,147.9813,76.4061,phase2b,
UGC02916,1.142726,balanced,0.4132,0.0,170.5419,66.6667,phase2b,
UGC11914,1.156216,balanced,0.7813,0.0,138.2986,74.333,phase2b,
F583-1,1.190194,balanced,0.8101,0.0,144.1446,66.6667,phase2b,
UGC06917,1.24716,balanced,0.8848,0.0,142.2756,66.6667,phase2b,
UGC08550,1.292827,balanced,0.6679,0.0,166.2971,96.9523,phase2b,
UGC06930,1.302832,balanced,0.8947,0.0,159.4383,66.6667,phase2b,
DDO170,1.315876,balanced,0.7004,0.0,135.6393,66.6667,phase2b,
UGC00634,1.33143,balanced,0.7321,,141.4638,66.6667,phase2b,inner_coverage
F568-3,1.402707,balanced,0.9297,0.0,167.8442,66.6667,phase2b,
NGC4183,1.418178,balanced,0.1251,0.0,131.7067,66.6667,phase2b,
NGC1090,1.453442,balanced,0.5165,0.0,148.5499,66.6667,phase2b,
UGCA444,1.469288,balanced,0.953,0.0,182.8311,89.8351,phase2b,
F565-V2,1.622668,DM-dom,0.911,0.0,157.3217,66.6667,phase2b,
DDO154,1.665707,DM-dom,0.5616,0.0,151.9068,76.2937,phase2b,
F568-V1,1.840965,DM-dom,0.8874,0.0,148.0042,66.6667,phase2b,
UGC08286,1.905207,DM-dom,0.6202,0.0,136.1159,66.6667,phase2b,
UGC05005,1.963228,DM-dom,0.6356,0.0,150.3076,66.6667,phase2b,
